Alien,348
Hairspray,11054
Hairspray,2976
The Graduate,37247
A Fish Called Wanda,623
Boys Don't Cry,226
Blindspotting,489930
The Pianist,423
What We Do in the Shadows,246741
His Girl Friday,3085
The Birds,571
Horrible Bosses,51540
Bringing Up Baby,900
Mother,30018
Woman of the Year,20640
Dumb and Dumber,8467
Raising Arizona,378
Idiocracy,7512
Ocean Waves,21057
Mad Max,9659
American Graffiti,838
Good Will Hunting,489
Full Metal Jacket,600
Les Misérables,586863
An American Pickle,628917
An Easy Girl,575479
Clueless,9603
Sonic the Hedgehog,454626
Trolls World Tour,446893
The Invisible Man,570670
The One and Only Ivan,508570
The Hunt,514847
Unforgiven,33
Misery,1700
Adam's Rib,25431
Extraction,545609
(500) Days of Summer,19913
Phineas and Ferb the Movie: Candace Against the Universe,594328
Little Women,331482
Into the Wild,5915
Tenet,577922
The King of Staten Island,579583
Batman: The Killing Joke,382322
Wedding Crashers,9522
I'm Thinking of Ending Things,500840
Da 5 Bloods,581859
7 Days in Hell,287689
Batman: Assault on Arkham,242643
The Way Back,529485
Nightcrawler,242582
Safety Not Guaranteed,84332
Pom Poko,15283
Unpregnant,632666
Dark Waters,552178
The Social Dilemma,656690
Frost/Nixon,11499
Under the Skin,698232
The Devil All the Time,499932
Up in the Air,22947
RBG,493099
An Education,24684
The Wedding Singer,11003
Alita: Battle Angel,399579
The Fugitive,5503
Enola Holmes,497582
From Dusk Till Dawn,755
Million Dollar Baby,70
Frances Ha,121986
Donnie Brasco,9366
The Exorcist,9552
Grease,621
Superman Returns,1452
Sherlock Holmes: A Game of Shadows,58574
Spies in Disguise,431693
The Cabin in the Woods,22970
Planes, Trains and Automobiles,2609
The Terminator,218
Yesterday,515195
Bad Words,209403
Amélie,194
Good Boys,521777
Never Rarely Sometimes Always,595671
She Dies Tomorrow,664297
Yes, God, Yes,527660
Synecdoche, New York,4960
Little Women,39938
The Conjuring,138843
Harold & Kumar Escape from Guantanamo Bay,13335
American Murder: The Family Next Door,743601
Dick Johnson Is Dead,653574
5 Centimeters per Second,38142
The World's End,107985
Aquaman,297802
The Trial of the Chicago 7,556984
Anomalisa,291270
Don't Breathe,300669
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,496
Borat Subsequent Moviefilm,740985
Hubie Halloween,617505
Little Shop of Horrors,10776
It Comes at Night,418078
It,346364
It Follows,270303
It Chapter Two,474350
Scooby-Doo on Zombie Island,13151
The Thing,1091
The Thing,60935
The Ides of March,10316
22 Jump Street,187017
The Elephant Man,1955
Get Out,419430
First Cow,558582
Teenage Mutant Ninja Turtles,1498
Sicario,273481
Se7en,807
Whisper of the Heart,37797
The Kitchen,487680
High Fidelity,243
Pi,473
Call Me by Your Name,398818
Following,11660
Blade Runner 2049,335984
The Broken Hearts Gallery,616251
The New Mutants,340102
Spontaneous,604578
Easy A,37735
Love, Simon,449176
The Devil's Backbone,1433
Hunt for the Wilderpeople,371645
Underwater,443791
Hotel for Dogs,15189
Looper,59967
Premium Rush,49526
Bill & Ted's Excellent Adventure,1648
Leave No Trace,443463
Office Space,1542
Chinatown,829
The French Connection,1051
Panic Room,4547
The Fly,9426
Four Weddings and a Funeral,712
Traffic,1900
Dirty Harry,984
Klaus,508965
The Christmas Chronicles,527435
Sound of Metal,502033
Mank,614560
Happiest Season,520172
Me and Earl and the Dying Girl,308369
Risky Business,9346
The Christmas Chronicles: Part Two,654028
Let Them All Talk,623856
Wolfwalkers,441130
Your Name.,372058
Ava,539885
Bonnie and Clyde,475
The Highwaymen,500682
Holidate,615665
Before I Fall,397837
Buddy Games,472815
A Scanner Darkly,3509
Peninsula,581392
Last Christmas,549053
Fatman,602211
Songs My Brothers Taught Me,308640
The Rider,453278
Mangrove,789344
Lovers Rock,None
Red, White and Blue,None
Alex Wheatle,None
Education,None
White Christmas,13368
Die Hard,562
Die Hard 2,1573
Die Hard: With a Vengeance,1572
Live Free or Die Hard,1571
A Good Day to Die Hard,47964
Wonder Woman 1984,464052
Soul,508442
The Midnight Sky,614911
Mulan,10674
Mulan,337401
Tokyo Story,18148
Cool Hand Luke,903
On the Rocks,575417
